悪衣悪食, あくいあくしょく, 衣服や食べ物が粗末であること
科挙圧巻, かきょあっかん, 試験で最もすぐれた成績を収めること。 「科挙」は古代中国、隋の時代に行われはじめた官吏の登用試験のこと
蝸牛角上, かぎゅうかくじょう, 取るに足らない争い。小競り合い
隔岸観火, かくがんかんか, 兵法三十六計の第九計。 「岸を隔てて火を観る」と訓読する
廓然大公, かくぜんたいこう, 不満や疑念などなく、公平な性格のこと。 聖人の道を学ぶ者の心構え
格致日新, かくちにっしん, 物事の本質や真理を追究し、常に向上し続けること。 「格致日に新たなり」と訓読する
格調高雅, かくちょうこうが, 主に詩や文章などの表現が格調高く、優雅で品があることを意味する
格物致知, かくぶつちち, 古代中国における思想史上の術語。格致かくちとも略される
革命無罪, かくめいむざい, 「革命に罪はない」を意味する中国語。 「造反有理」と並び、中国の文化大革命で紅衛兵が連呼したスローガン
加減乗除, かげんじょうじょ, 加算（足し算）、減算（引き算）、乗算（掛け算）、除算（割り算）の総称。四則演算
嘉言善行, かげんぜんこう, 教訓となるような、的確な言葉と立派な行動のこと
歌功頌徳, かこうしょうとく, 他人の功績や人徳を褒め称えて歌うこと。 「功こうを歌い徳を頌たたう」と訓読する
花紅柳緑, かこうりゅうりょく, 美しい景色の形容
河山帯礪, かざんたいれい, 永遠に変わらない固い誓い。 または、国が永く栄えることの喩え
花枝招展, かししょうてん, 花の枝が風に揺れ動いて美しい様子。転じて、華やかに着飾っている女性の喩え
寡二少双, かじしょうそう, 匹敵する者がいないほど優れていること。二人といないこと
佳人薄命, かじんはくめい, 美しい女性は数奇な運命にあって、不幸になりがちであるという意味
活殺自在, かっさつじざい, 生かすも殺すも、こちらの思いのままであること。 自分の思いどおりに相手を動かすこと
勝手気儘, かってきまま, 他人のことは気にせず、自分の思うままに行動すること
刮目相待, かつもくそうたい, 男子は三日も鍛錬すれば驚くほど成長するものだという意味。 「刮目」は、目を見開いてよく見ること
寡頭政治, かとうせいじ, 特定の少数の人々が権力を握って行う独裁的な政治。君主制や独裁制のほか共和制や民主制でも存在する
家徒四壁, かとしへき, 極めて貧しいことの喩え。 家の中に家財がなく、ただ四方に壁だけが立っているという意味
河図洛書, かとらくしょ, 古代中国の伝説で、黄河と洛水からそれぞれ出現したといわれる神秘的な図で、天地の法則を示しているとされる
禍福無門, かふくむもん, 災難や幸福はその人自身が呼び寄せるものだということ
寡聞少見, かぶんしょうけん, 知識や経験が少ないこと。または世間知らずな人の喩え
下陵上替, かりょうじょうたい, 下克上げこくじょうが行われている世の中。 上の者の力が衰え、下の者が上を凌ぐ意味
夏炉冬扇, かろとうせん, 夏の火鉢と冬の扇子のように、時期が合っていないために役に立たないもののこと
観感興起, かんかんこうき, 実際に目で見て、それに感動して奮い立つこと。 「観感」は、感動すること
感慨無量, かんがいむりょう, 計り知れないほど感慨が深いこと。 「感無量」という言葉はこれを略したもの
緩急自在, かんきゅうじざい, 物事を自由自在に操ること。 状況に応じて早くしたり遅くしたり、緩めたり厳しくしたりと、思い通りに調整する様子
換骨羽化, かんこつうか, 羽が生えて仙人となること。 「換骨」は、中国の神仙術で、凡骨を換えて仙骨とすること
寛仁大度, かんじんたいど, 寛大で慈悲深く、度量の大きいこと。 「寛仁」は心が広くて情が厚いこと
閑人適意, かんじんてきい, 俗世間から離れて、のんびりと気の向くままに風流な生活をすること
冠前絶後, かんぜんぜつご, 群を抜いて優れていること、また非常に珍しいことの形容。 今までで最高であって、これからもないであろうという意味
完全燃焼, かんぜんねんしょう, 可燃物が、充分な酸素の供給のもとで燃え尽きること。 持っている力を完全に出しきることの喩え
完全無欠, かんぜんむけつ, 欠点や不足がまったくなく、非の打ち所がないこと。申し分がないこと
簡素清貧, かんそせいひん, 質素で、貧しいながらも心清らかであること。 「簡素」は、簡略で質素なこと
管中窺天, かんちゅうきてん, 見識や視野が極めて狭いことの喩え。 細い管を覗いて天を見るという意味
管仲随馬, かんちゅうずいば, 先人の知恵や経験を尊重することの喩え。 古代中国
歓天喜地, かんてんきち, 大喜びすること。 然るについ両三日前に至って、美学研究の際不図その理由を発見したので多年の疑団は一度に氷解
旱天慈雨, かんてんじう, 日照り続きのときに降る恵みの雨。 困っているときに、タイミングよく差し伸べられる救いの手
撼天動地, かんてんどうち, 天地を揺るがすほどの活躍、活動のこと。人々を驚かす大きな出来事の喩え
勧百諷一, かんぴゃくふういつ, 利益になることが少なく、損害のほうが多いこと。特に悪影響を与える事が多い言葉や文章のこと
間不容髪, かんふようはつ, 非常に差し迫った様子。 髪の毛一本を入れる隙間もないという意味
感奮興起, かんぷんこうき, 物事に深く感動して心が奮い立つこと。 「感奮」と「興起」はどちらも、心を揺り動かされて奮い立つことを意味する
閑話休題, かんわきゅうだい, 横道にそれた話を本題に戻すときに接続詞的に使う言葉。主に文章で用いる
外寛内明, がいかんないめい, 外部に対しては寛大、寛容に接し、自分自身はよく省みて身を慎むこと。 リーダーの心構え
外柔内剛, がいじゅうないごう, 表面は穏やかで優しそうだが、実際は何事にも左右されない強い意志を持っていること
雅人深致, がじんしんち, 俗世間から遠く離れた風流な人が持つ深い趣のこと
画蛇添足, がだてんそく, 余計なものを付け足した結果、台無しになってしまうこと。蛇足
合従連衡, がっしょうれんこう, そのときの利害に応じて、結びついたり離れたりする政策
眼光紙背, がんこうしはい, 読解力が優れていることの喩え
含笑入地, がんしょうにゅうち, 笑いながら悠々と死んで土に還っていくという意味で、思い残すことなく安らかに死ぬこと
顔面蒼白, がんめんそうはく, 精神的な動揺や困惑などによって顔が真っ青になること。血の気の引いた状態を表す
気韻生動, きいんせいどう, 書画や詩文などの芸術作品に、気高い風格や気品が満ちていること
気宇壮大, きうそうだい, 思想、発想、構想などが並外れて大きく立派なこと。 「気宇」は、心の持ち方、広さ、度量、心構えなどのこと
気炎万丈, きえんばんじょう, 燃え上がる炎のように意気込みが盛んなこと。 別表記：「気焔万丈」「気焰万丈」
機会損失, きかいそんしつ, 本来ならもっと利益を得ることができた状況で、然るべき行動を起こさなかったことによって生じた架空の損失のこと
奇貨可居, きかかきょ, チャンスは逃さずに、利用しなければならないという喩え
揮汗成雨, きかんせいう, 流れる汗をふるい落とすと、その汗がまるで雨のように降りかかること。転じて、人が溢れている様子を意味する
危機一髪, ききいっぱつ, 髪の毛一本ほどのわずかな差で危険な状況を脱する事
危急存亡, ききゅうそんぼう, 危険が迫り、生きるか死ぬかの瀬戸際にある状態。 「危急」は、危険な状態が迫ること
危言危行, きげんきこう, 言葉と行動を正しく律すること
規行矩歩, きこうくほ, 正しい行動ではあるが、古い制度を頑なに守るばかりで融通が利かないこと
旗鼓堂堂, きこどうどう, 軍隊やパレードが整然として威厳に満ちた様子。 「旗鼓」は軍旗と太鼓のこと
鬼手仏心, きしゅぶっしん, 外科医は残酷なほど大胆に手術するが、それは患者を治そうとするやさしい心によるものだという意味。 別表記：「仏心鬼手」
貴種流離, きしゅりゅうり, 高貴な生まれの人が他国をさすらい、苦難や試練を経験して帰国すること
希少価値, きしょうかち, 物事の量や数などが少なくて珍しいために生じる価値
起承転結, きしょうてんけつ, 文章の構成や物事の順序のこと。 「起」で始まり、「承」で受け「転」で変化を出し、「結」で終結させる
喜色満面, きしょくまんめん, 嬉しい気持ちを抑えきれずに、喜びの表情が顔中に溢れ出ていること
貴耳賤目, きじせんもく, 伝聞や噂話を軽々と信じて、実際に自分の目で見ているものを信じないこと
杞人天憂, きじんてんゆう, 必要のない心配をすること。取り越し苦労
規制緩和, きせいかんわ, 行政による産業や経済に関する法律や規制を廃止したり緩めたりすること
既成事実, きせいじじつ, すでに現実になっていて、誰もが認める物事のこと。また誰ももが認めるのが当たり前の物事のこと
貴賤上下, きせんじょうげ, 身分や階級、地位の高い人と低い人の区別のこと。 同義語：「貴賤老若きせんろうにゃく」
機知頓才, きちとんさい, その場の状況に応じて臨機応変に知恵を働かせること。機転が利くこと
季布一諾, きふいちだく, 決して裏切らない固い約束。 一度約束した以上は必ず守らなければならないという戒め
驥服塩車, きふくえんしゃ, 「名馬が塩を運ぶ荷車を引く」という意味で、有能な者が能力に見合わない低い地位に就いたり、誰でもできるようなつまらない...
帰命頂礼, きみょうちょうらい, 地に頭をつけて礼拝し、深く帰依の情をあらわすこと。仏に対して心から帰依すること
鬼面嚇人, きめんかくじん, 鬼のような形相で人を威嚇すること。虚勢を張ること
鬼面仏心, きめんぶっしん, 外見は鬼のように恐ろしいが、優しい仏のような心を持っていること。 また、そのような人
記問之学, きもんのがく, 書物を読んで暗記しているだけで、それらの知識を生活の中で役立てないこと。何の役にも立たない学問
脚下照顧, きゃっかしょうこ, 禅宗の言葉。自分の足元をよく見ろという教訓
救世済民, きゅうせいさいみん, 国や世の中を救い、人民を苦しみから解放すること。 「救世」は悪い世の中を良いほうに導くこと
旧態依然, きゅうたいいぜん, 昔のままで少しも進歩しないこと。発展がない様子
九腸寸断, きゅうちょうすんだん, 腸がずたずたに断ち切られるという意味で、非常に悲しいことの形容。断腸の思い
窮鳥入懐, きゅうちょうにゅうかい, 追い詰められて、逃げ場を失った人が助けを求めてくること。 「窮鳥」は追いつめられた鳥
吸風飲露, きゅうふういんろ, 仙人は食物を摂らず、風を吸って露を飲む食生活をするという意味で、清浄で質素な生活の喩え
窮余一策, きゅうよいっさく, 困り切った挙げ句の果てに、苦し紛れに思いついた一つの手段。 「苦肉之策くにくのさく」「苦肉之計くにくのけい」と同義
急流勇退, きゅうりゅうゆうたい, 船が急流の中で素早く回転して引き返す様子。 転じて、官職にある者が仕事が順調なときに機を見て潔く辞職することの喩え
教育勅語, きょういくちょくご, 1890年（明治23年10月30日）に、明治天皇の名のもとに発布された、国民の道徳に関する理念や教育方針を必要かつ最...
矯角殺牛, きょうかくさつぎゅう, 小さな欠点を直そうとして、全体を駄目にしてしまうことの喩え。 「角つのを矯ためて牛うしを殺ころす」と読み下す
強幹弱枝, きょうかんじゃくし, 中央の政府に権力を集中させ、地方の権限を抑えること。中央集権
強権発動, きょうけんはつどう, 国家が国民に対してもっている司法または行政上の強力な権力である強権を行使すること
凶険無道, きょうけんむどう, 道徳に背く邪悪な行い。 「凶険」は、心が邪よこしまで荒々しいこと
強硬手段, きょうこうしゅだん, 目的達成のために手段を選ばず、自分自身のやり方を押し通すこと。手加減や容赦をしない方法
教唆扇動, きょうさせんどう, 暗示を与えて人の心を煽り立てること。 「教唆」は、悪事をさせるためにそそのかすこと
彊食自愛, きょうしょくじあい, 食欲が無くても努めて食事を摂って、体を大切にすること。 別表記：「強食自愛」
共存共栄, きょうぞんきょうえい, 二つ以上のものが互いに敵対することなく助け合って生存し、共に栄えること
強迫観念, きょうはくかんねん, 考えないようにしていても脳裏に浮かび、自分の意思ではどうすることもできない考えのこと
興味索然, きょうみさくぜん, 自然に興味関心が失われていくこと。 何か物足りなく、面白みがないこと
協和万邦, きょうわばんぽう, 多くの国を協調させて、国内外が和やかになること
虚往実帰, きょおうじっき, 「虚往」は頭の中を空にして出掛けること。 「実帰」は充分に満たされて帰ること
挙棋不定, きょきふてい, 将棋の駒や囲碁の碁石を手にして、盤に打とうして持ち上げたものの、迷いが生じて決め兼ねている状態
曲学阿世, きょくがくあせい, 学問上の真理を歪めて、権力者や世間に気に入られる振る舞いをすること
旭日昇天, きょくじつしょうてん, 朝日が天に昇るように勢いが盛んなこと。 順調にことが運ぶときの喩え
挙止進退, きょししんたい, 日常生活での立ち居振る舞いのこと。 類義語：「挙措進退きょそしんたい」
虚実混交, きょじつこんこう, 真実と虚偽が入り混じっていること。 別表記：「虚実混淆」
挙措失当, きょそしっとう, 不適切な振る舞いや、当を得ていない態度を取ること。 「挙措」は、動作、態度、立ち居振る舞い
挙動不審, きょどうふしん, 隠し事などがあるため、一貫性のない言動で、落ち着きがなく、疑わしい様子
器用貧乏, きようびんぼう, 何事も人並み以上にできるために、色々なことに手を出してしまいどれも中途半端になり極めることができないこと
機略縦横, きりゃくじゅうおう, その場の状況に合わせた適切な策略を臨機応変に使い分けること
錦衣玉食, きんいぎょくしょく, 贅沢な暮らしをする喩え。 美しく高級な着物と、宝石のように上等な食事という意味
金甌無欠, きんおうむけつ, 傷のない黄金の瓶のように、完全で欠点のないこと。 「金甌、欠くる無し」と訓読する
槿花一日, きんかいちじつ, 人の世の栄華の儚いこと
琴歌酒賦, きんかしゅふ, 世間離れした優雅な遊び。また、名誉や私欲と縁のない隠者の生活の喩え
琴棋書画, きんきしょが, 文人が嗜むべきとされた四芸。 琴は音楽、棋は囲碁、書は書道、画は絵画
勤倹小心, きんけんしょうしん, 仕事に励み節約をし、注意深いこと。 「勤倹」は、仕事に励み節約すること
勤倹力行, きんけんりっこう, 仕事に励み、精一杯努力すること。努力して物事を行うこと
謹厳実直, きんげんじっちょく, 真面目で誠実なこと。 「謹厳」は慎み深く厳格なこと
近朱必赤, きんしゅひっせき, 人は交わる相手によって良くも悪くもなるということ
金城鉄壁, きんじょうてっぺき, 金の城と鉄の壁。 まったく隙がなく非常に堅い守りの喩え
錦上添花, きんじょうてんか, 美しいものに更に美しさが加わり、より完全なものになること。 「錦上に花を添う」と訓読する
近所合壁, きんじょがっぺき, 近所の家々、または壁を一つを隔てた隣近所のこと
禁則事項, きんそくじこう, 未来に関する情報や現在は未到達な知識など、過去の人間には教えてはいけないことを指す
金殿玉楼, きんでんぎょくろう, 黄金や宝玉で飾った豪華な宮殿。 非常に美しく立派な建物
義気凛然, ぎきりんぜん, 男気にあふれて勇ましい様子。 「義気」は、正しいことを守り行おうとする意気
疑心暗鬼, ぎしんあんき, 何もない暗闇でも鬼がいるかのように見えること。 普段の何でもないものにまで疑いや恐れを抱いてしまうことの喩え
疑事無功, ぎじむこう, 疑いながら、また躊躇ためらいながら物事を行うようでは、成果は期待できないということ
逆取順守, ぎゃくしゅじゅんしゅ, 道理に背いた方法で天下を取り、道理に適った方法でそれを守ること。 「逆取」は道理に背いた方法で手に入れること
牛鬼蛇神, ぎゅうきだしん, 鬼や妖怪。 怪しげで不思議な作風や作品の喩え
牛刀割鶏, ぎゅうとうかっけい, 牛を解体するための大きな包丁で鶏を捌くことを意味する
尭階三尺, ぎょうかいさんじゃく, 君子が慎ましく控えめな生活をすること。または質素な宮殿のこと
行儀作法, ぎょうぎさほう, 行儀と作法。立ち居振る舞いの方法
玉石同匱, ぎょくせきどうき, 大きな木箱に宝石と石を一緒に入れるという意味で、貴重なものと価値のないものが入り交じっていることの喩え
魚目燕石, ぎょもくえんせき, 本物にそっくりな偽物のこと。 「魚目」は魚の目玉
銀盃羽化, ぎんぱいうか, 盗難に遭うことの表現。 銀の杯に羽が生えて飛び去るという意味
空空寂寂, くうくうじゃくじゃく, 空虚で静寂な様子。転じて何もなく静かなこと
空空漠漠, くうくうばくばく, 果てしなく広い様子。ぼんやりとした状態
空谷跫音, くうこくきょうおん, 寂しい山中に響く足音。 孤独なときに、思いがけない便りや嬉しい訪問があること
空即是色, くうそくぜしき, 万物には実体がないが、それがそのまま物質的なものとして存在している
空中楼閣, くうちゅうろうかく, 空中に築いた建物のこと。転じて、根拠のない事柄、また現実からかけ離れた空想的な物事を指す
盟神探湯, くかたち, 日本において古代に行われた裁判。 熱湯の中の石を拾わせて、手が無事であるか火傷やけどしてしまうかで正邪を判定した
苦口婆心, くこうばしん, 善意を持って面倒がらずに忠告すること。 「苦口」は厳しい諌いさめの言葉
苦尽甘来, くじんかんらい, 困難や苦難が続いた後に、幸福が訪れること
区聞陬見, くぶんすうけん, 学問や見識の幅が狭く偏っていること
九品蓮台, くほんれんだい, 仏教用語で、極楽浄土に往生するときに座る蓮でできた台のこと。 生前の行いによって九等級に分かれるとされている
君子懐徳, くんしかいとく, 人の上に立つものは常に徳を心掛けるという意味。 「君子は徳を懐おもう」と訓読する
君子殉名, くんしじゅんめい, 人格者は名誉のために自身を犠牲にするということ
君子豹変, くんしひょうへん, 信念を持たずに考えや態度をあっさりと変えること。 「君子」は、教養や徳の高い人、人格者のこと
葷酒山門, くんしゅさんもん, 匂いの強い物を食べたり酒を飲んだ者は、寺院に入ってはいけないという戒め。 「葷酒、山門に入るを許さず」を略した言葉
君辱臣死, くんじょくしんし, 君主が侮辱されたら、臣下はその屈辱を晴らすために命を懸けるということ
君側之悪, くんそくのあく, 君主のそばに仕えている悪人のこと。また、ひそかに悪だくみを考えている側近の臣下
愚公移山, ぐこういざん, 怠らずに根気よく努力し続ければ、大きな事業もついには成功するという喩え
愚者一得, ぐしゃいっとく, 愚か者でもたまに優れた名案が浮かぶこともあるということ。よって、愚か者の考えや話もよく聞くことが大切だということ
虞美人草, ぐびじんそう, ヒナゲシの異名。 古代中国
具不退転, ぐふたいてん, 途中で後戻りせずに物事をやり通す気構えを持つこと。不退転
求不得苦, ぐふとくく, 仏教用語で、「四苦八苦」のうちの一つ。 求めているものが得られないことから生じる苦しみを意味する
愚問愚答, ぐもんぐとう, 愚かな問答。 つまらない質問と、ばかげた回答のこと
群疑満腹, ぐんぎまんぷく, 心の中に多くの疑いが生じること。 また、多くの人が疑いの心を抱くこと
群軽折軸, ぐんけいせつじく, 小さなものでも数多く集まれば大きなものになることの喩え。 「群軽ぐんけい、軸じくを折る」と訓読する
群分類聚, ぐんぶんるいじゅう, 異なるものを分けて、同類のものを集めること。大別分類
群竜無首, ぐんりゅうむしゅ, 素晴らしい人材が多くいるのに、統率できる者がいないために、物事がうまく運ばないことの喩え
経緯万端, けいいばんたん, 物事が入り組んでいるため、解決の糸口が見つけられないことの喩え。 「経緯」は、布の縦糸と横糸
形影一如, けいえいいちにょ, 体と影は常に離れず寄り添い、同じ動きをすることから、仲が良い夫婦の喩え
形影相同, けいえいそうどう, 思想が正しければ行動も正しくなるという喩え
継往開来, けいおうかいらい, 先人の事業を受け継ぎ、発展させながら未来を切り開くこと
軽裘肥馬, けいきゅうひば, 高貴な人の外出のときの装い。 「軽裘」は軽くて高価な皮衣
軽挙妄動, けいきょもうどう, 状況や事態を把握することなく、深く考えずに軽々しく行動すること
稽古照今, けいこしょうこん, 過去の出来事や先人の教えから学び、現在の事象に照らし合わせて教訓を活かすこと
刑故無小, けいこむしょう, 故意に犯した罪は小さな罪でも刑罰を与えること
瓊枝玉葉, けいしぎょくよう, 皇族の子孫。または高貴な家の子弟のこと
経史子集, けいしししゅう, 中国において、古典的な書物を分類、整理するための四つの基準。四部分類
傾城傾国, けいせいけいこく, 容姿の美しさで人の心が魅了されて、国や城が傾いて滅びてしまうという意味から、絶世の美女の喩え
経世済民, けいせいさいみん, 世の中を治めて人々を苦しみから救うこと。 「世を経おさめ、民を済すくう」と訓読する
蛍窓雪案, けいそうせつあん, 苦労して学問に励むことの喩え
軽率短慮, けいそつたんりょ, 思慮が足りずに、軽々しく行動すること。 別表記：「短慮軽率」
形単影隻, けいたんえいせき, たった一人で孤独な状況のこと。 別表記：「影隻形単えいせきけいたん」
軽薄短小, けいはくたんしょう, コンパクトさや手軽さを特徴とすること
桂林一枝, けいりんいっし, 桂の木の林の中にある一本の枝という意味。 官職に不満足なことの喩え
血脈相承, けちみゃくそうじょう, 仏教用語。祖先から子孫へと血統が伝わるのと同じように、教義や法統が師から弟子へと受け継がれること
欠席裁判, けっせきさいばん, 当事者や代理人が不在の状態で行われる裁判。 当人のいない席上で、他者がその人に関することを決めてしまうこと
血脈貫通, けつみゃくかんつう, 文章などの構成が終始一貫してよく統一がとれていること。 身体中に血の流れが巡っているという意味
犬牙相制, けんがそうせい, 隣りあう二国が、国境を挟んで互いに牽制しあうこと。 国境が複雑に入り組んでいることの喩え
権貴栄達, けんきえいだつ, 権力を得て、高い地位に進むこと。 「権貴」は権力があって地位が高いこと
懸軍万里, けんぐんばんり, 軍隊が本隊を遠く離れて進軍すること。 本隊と連絡の取れないまま奥に進んで行くこと
見賢思斉, けんけんしせい, 賢者を見て、自分もそのような人になりたいと憧れること。 「賢けんを見みては斉ひとしからんことを思う」と訓読する
剣山刀樹, けんざんとうじゅ, 仏教用語で、地獄にあるという剣の山や刀の林のこと。 同義語：「剣樹地獄けんじゅじごく」「剣樹刀山けんじゅとうざん」
捲土重来, けんどちょうらい, 物事に一度失敗した者が、再び力を盛り返し再挑戦すること。 「巻土重来、未いまだ知る可からず」が語源
犬馬之年, けんばのとし, 犬や馬のように、大きな功績を残すこともなく、無駄に歳を重ねたという意味。 自分の年齢を謙遜して表現する言葉
犬馬之養, けんばのよう, 誠意のない親孝行のこと。 金銭的、または物質的な援助だけで済ませ、精神的な情愛がないこと
犬馬之労, けんばのろう, 他人のために力を尽くすことを謙遜けんそんしていう言葉。 犬や馬ほどの働きという意味
堅白同異, けんぱくどうい, 詭弁。辻褄の合わない無茶な論理を展開すること
権謀術数, けんぼうじゅっすう, 人を騙すための策略のこと。マキャヴェリズム
見利忘義, けんりぼうぎ, 利欲に目が眩んで道義を忘れること。 儲けのためなら手段を選ばない利益追求型の商売
懸腕直筆, けんわんちょくひつ, 書道での筆の使い方の基礎。 姿勢を整え、腕を上げて、肘を脇から離し、筆を垂直に持つ書き方
鯨飲馬食, げいいんばしょく, 無闇にたくさん飲食すること。大食漢
戯作三昧, げさくざんまい, 何の役にも立たないような詩や文章を書き散らすこと。 遊び半分で小説を書くこと
月下推敲, げっかすいこう, 文章の字句や表現を深く考えて、何度も修正して仕上げること
月寒江清, げっかんこうせい, 月の光が川の水面に照り返し、空気は冷たく静まり返っている冬の夜の風景。 「月は寒く、江は清し」と訓読する
月卿雲客, げっけいうんかく, 宮中に仕える高位高官のこと。 「月卿」は公卿のこと
言行枢機, げんこうすうき, 言葉と行動は人として最も重んずべきものであるということ。 「言行」は、発言と行動
言笑自若, げんしょうじじゃく, 何があっても決して慌てず、落ち着いていること。 「言笑」は、喋ることと笑うこと
現状維持, げんじょういじ, 現在の状況や状態、情勢などをそのまま変えずにおくこと。または、状況が変化しないこと
現状打破, げんじょうだは, 現在の状況や状態、情勢などを、思い切って打ち破ること。 「現状」は、現在の状況や状態、情勢などのこと
現世利益, げんぜりやく, 仏教用語。神仏を信仰した結果が実り、現世において無病息災や招福などの利益を受けること
元和偃武, げんなえんぶ, 元和元年（1615）の大坂夏の陣が終わり、豊臣氏の滅亡後、平和な時代になったこと
厳父慈母, げんぷじぼ, 厳しい父と優しい母。 「厳父」「慈母」は、いずれも自分の両親に対する尊称として用いる言葉
香囲粉陣, こういふんじん, 美しい女性たちに囲まれることの喩え
黄衣廩食, こういりんしょく, 宮中に仕える宦官のこと。 「黄衣」は宦官が着る黄色い衣
広廈万間, こうかばんげん, 広く大きな家。転じて、貧しい人を庇護すること
好学尚武, こうがくしょうぶ, 学問と武術のどちらも好んで重んじること。 「好学」は学問を好むこと
厚顔無恥, こうがんむち, 厚かましく、恥知らずなこと。 他人の迷惑などかまわずに、自分の都合だけで行動すること
好機到来, こうきとうらい, ちょうどよいチャンスが巡ってくること。 「好機」はちょうどよい機会、またとない機会のこと
敲金撃石, こうきんげきせき, 詩や文章の音の響きやリズムが美しいことの喩え。 「金かねを敲たたき石を撃うつ」と訓読する
高潔無比, こうけつむひ, 比べるものがないほど気高く清らかで汚れのないこと。 「高潔」は、品格があり、清らかなこと
黄絹幼婦, こうけんようふ, 二人の判断が完全に同じになること。または、物事を正確に理解すること
皓月千里, こうげつせんり, 白く輝く月が、遠く千里の彼方かなたまで照らしている様子。 「皓月」は、明るく、白く冴えた月
巧言乱徳, こうげんらんとく, 巧みに飾られた言葉は、誠意がないと、人からの信頼を失うという意味。 「巧言こうげんは徳とくを乱みだる」と訓読する
巧言令色, こうげんれいしょく, 巧みな言葉を使って、顔色を取り繕い、人に媚びへつらうこと。 「巧言」は、心にもないお世辞を言うこと
紅口白牙, こうこうはくが, 紅い唇と白い歯。転じて、美しい女性の形容
光彩奪目, こうさいだつもく, 目を奪われる美しい輝きや鮮やかな彩色。 「光彩目を奪う」と訓読する
幸災楽禍, こうさいらくか, 他人の不幸を喜ぶこと。 「災わざわいを幸さいわいとし禍わざわいを楽たのしむ」と訓読する
光彩陸離, こうさいりくり, 光が乱れ輝き、美しく煌めく様子。鮮やかな彩り
恒産恒心, こうさんこうしん, ある程度の財産を持ち、定職に就いていなければ、良心や良識を保つことができないという意味
高材疾足, こうざいしっそく, 才能と手腕を兼ね備えて、優れた働きをする人。 「高材」は優れた才能のこと
公私混同, こうしこんどう, 業務あるいは公的に携わっている事柄と、私的な事情とを区別せずに扱うこと
行尸走肉, こうしそうにく, 「歩く屍と走る肉」の意味。 無学無能で学ぼうとしない者を嘲る言葉
高車駟馬, こうしゃしば, 高位高官の地位にある人が乗る気品のある車のこと。転じて、高貴な人の喩え
広宵大暮, こうしょうたいぼ, 永久に明けない夜。 墓の中
好事多魔, こうじたま, 良い出来事には、何かと邪魔が入り易いという意味。 戒めの言葉として用いることが多い
公序良俗, こうじょりょうぞく, 「公の秩序、善良の風俗」の略語。 社会的妥当性
後生可畏, こうせいかい, 若い世代の者達は、今は未熟でも将来の大きな可能性を秘めているから、侮ってはならず、むしろ敬うべきであるという教え
考績幽明, こうせきゆうめい, 成績を審査して、愚かな者を退けて、賢い者を昇進させること
交淡如水, こうたんじょすい, 君子は、目先の利害にこだわらず、お互いの人格を重んずるので、その人間関係は水のように淡白であること
高談闊歩, こうだんかっぽ, 周りを気にせずに好き放題に議論して、大股で歩くこと。 転じて、自由で気ままな様子
向天吐唾, こうてんとだ, 他人に害を与えようとして、逆にその害を自分が受けることの喩え
紅灯緑酒, こうとうりょくしゅ, 贅沢な食事。 または、人通りの多い賑やかな繁華街と歓楽街の喩え
皇統連綿, こうとうれんめん, 皇室の血筋が途絶えることなく綿々と続くこと。 別表記：「皇統連緜」
敲氷求火, こうひょうきゅうか, 氷を叩いて火を起こすという意味。 見当違いな方法では目的を達成できないことの喩え
香美脆味, こうびぜいみ, 極めて贅沢な素晴らしい食事のこと。 「香美」は香辛料の効いた豪華な料理
光風霽月, こうふうせいげつ, 晴れた日の光の中を吹く爽やかな風と、雨上がりの澄んだ空に浮かぶ月のこと。 心に汚れがなく清らかなことの喩え
公平無私, こうへいむし, 自分の利益や感情に左右されず平等なこと。 「公平」はすべてを平等に扱うこと
槁木死灰, こうぼくしかい, 肉体は枯れた木のようであり、心は冷たい灰のようであるという意味。 身も心も生気がまったくない様子
黄霧四塞, こうむしそく, 黄色い霧が四方に満ちること。古代中国では天下が乱れる兆しとされていた
孔門十哲, こうもんじってつ, 孔子の弟子の中でも特に優れた10人
光禄池台, こうろくちだい, 「光禄」は、中国の漢の時代に設けられた、高級官僚の役職名の一つ
高論卓説, こうろんたくせつ, 普通の人では考え及ばないような立派な意見や議論のこと。 類義語：「名論卓説めいろんたくせつ」
呼牛呼馬, こぎゅうこば, 言いたいように言わせておいて、自分では逆らわないことの喩え
黒衣宰相, こくえさいしょう, 僧侶の身分で政治に参画し、大きな勢力を持つ者。 江戸時代初期に徳川家康に重宝された金地院崇伝、南光坊天海などが有名
黒歯彫題, こくしちょうだい, 黒く染めた歯と入れ墨をした額のこと。 古代中国の南方にいた異民族の風習
国士無双, こくしむそう, 国の中で並ぶ者もいないほど優れた人物のこと。韓信を評した言葉「諸将易得耳、至如信者、国士無双」に始まる
黒白混淆, こくびゃくこんこう, 善と悪、是と非、正と邪などの区別がはっきりとしないこと。 「黒白」は物事の是非、善悪、正邪の喩え
国歩艱難, こくほかんなん, 国を取り巻く状況が極めて厳しく、国家の運命が危ういこと。 「国歩」は国の歩み、国の運命
古今無双, ここんむそう, 昔から今に至るまで、並ぶものが無いほど優れていること。 「古今」は過去から現在までの時間
古色蒼然, こしょくそうぜん, 長い年月を経て、ひどく古びた様子。 または、古びていて趣のあること
故事成語, こじせいご, ある故事が元になってできた熟語のこと。 たいてい、中国の古典に書かれた故事が故事成語の元になっている
